nome;prop;munic1;uf1;munic2;uf2;rio;potkw;atualiz;iniciop;potfisc;idemp;lat;long;estag
Boa Vista;Santa Cruz Geração de Energia S.A.;Sarutaiá;SP;;;Ribeirão Boa Vista;640;30/10/2023;01/01/1913;640;29628;-23,23478167;-49,4627783;Operação
Quilombo I;ZX Renováveis Ltda.;Itupeva;SP;;;Rio Jundiaí;2900;30/10/2023;0;0;52023;-23,13840833;-47,10336945;Cancelado
Monte Serrat;ZX Renováveis Ltda.;Itupeva;SP;;;Rio Jundiaí;1300;30/10/2023;0;0;27190;-23,13916667;-47,08833333;Cancelado
Quilombo I;;Itupeva;SP;;;Rio Jundiaí;2500;30/10/2023;0;0;0;-23,13472222;-47,11222222;Eixo Disponível
Rio Novo;Santa Cruz Geração de Energia S.A.;Avaré;SP;;;Rio Novo;974,43;30/10/2023;01/01/1909;974,43;2428;-22,95805556;-48,97833333;Operação
Salto do Lobo;Companhia Energética Salto do Lobo Ltda.;Botucatu;SP;Itatinga;SP;Rio Pardo;1616;30/10/2023;24/04/2002;1616;28585;-22,95380479;-48,73788247;Operação
Salto Grande;Jayaditya Empreendimentos e Participações Ltda.;Itatiba;SP;;;Rio Atibaia;4550,4;30/10/2023;20/01/1912;4550,4;27172;-22,93388889;-46,89583333;Operação
Pari;Quatiara Energia S.A.;Cândido Mota;SP;Palmital;SP;Rio Pari;1344;30/10/2023;10/04/1937;1344;1988;-22,88166667;-50,33083333;Operação
Bocaina I;Bracuhy Agricultura e Energia Ltda.;Bananal;SP;;;Rio Paca Grande;450;30/10/2023;27/04/1978;450;31266;-22,81183955;-44,45159368;Operação
Hidrogerador Quântico;Luxray Tecnologia Ltda.;Pindamonhangaba;SP;;;Rio Tetequera ou Grande;1225;30/10/2023;30/03/2016;1225;35587;-22,75361111;-45,44722222;Operação
Central GH Engenheiro Bernardo Figueiredo;Monte Azul Empreendimentos Imobiliários e Geração de Energia Ltda.;Pedreira;SP;;;Rio Jaguari;1,69;30/10/2023;20/10/1950;1,69;884;-22,7400745;-46,93738473;Operação
